[2025-10-18T07:20:40.992Z] [INFO] Creating backup...
[2025-10-18T07:20:41.022Z] [SUCCESS] ✅ Backup created at tmp/backup-code-1760772040992
[2025-10-18T07:20:41.022Z] [INFO] 
📝 Organizing code in files...
[2025-10-18T07:20:41.023Z] [SUCCESS]    ✅ Organized imports: src/__tests__/ai-assistant.test.ts
[2025-10-18T07:20:41.024Z] [SUCCESS]    ✅ Organized imports: src/__tests__/api/appointments.test.ts
[2025-10-18T07:20:41.025Z] [SUCCESS]    ✅ Organized imports: src/__tests__/api/auth/login.test.ts
[2025-10-18T07:20:41.026Z] [SUCCESS]    ✅ Organized imports: src/__tests__/api/patients.test.ts
[2025-10-18T07:20:41.027Z] [SUCCESS]    ✅ Organized imports: src/__tests__/auth/forgot-password.test.tsx
[2025-10-18T07:20:41.027Z] [SUCCESS]    ✅ Organized imports: src/__tests__/auth/login.test.tsx
[2025-10-18T07:20:41.028Z] [SUCCESS]    ✅ Organized imports: src/__tests__/auth/register.test.tsx
[2025-10-18T07:20:41.029Z] [SUCCESS]    ✅ Organized imports: src/__tests__/auth/reset-password.test.tsx
[2025-10-18T07:20:41.030Z] [SUCCESS]    ✅ Organized imports: src/__tests__/saudi-health-integration.test.ts
[2025-10-18T07:20:41.030Z] [SUCCESS]    ✅ Organized imports: src/__tests__/setup.ts
[2025-10-18T07:20:41.030Z] [SUCCESS]    ✅ Organized imports: src/__tests__/whatsapp-business-api.test.ts
[2025-10-18T07:20:41.031Z] [SUCCESS]    ✅ Organized imports: src/__tests__/whatsapp-integration.test.ts
[2025-10-18T07:20:41.032Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/audit-logs/page.tsx
[2025-10-18T07:20:41.032Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/channels/page.tsx
[2025-10-18T07:20:41.033Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/dashboard/page.tsx
[2025-10-18T07:20:41.034Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/logs/page.tsx
[2025-10-18T07:20:41.034Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/page.tsx
[2025-10-18T07:20:41.035Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/payments/invoices/page.tsx
[2025-10-18T07:20:41.036Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/roles/page.tsx
[2025-10-18T07:20:41.036Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/therapists/schedules/page.tsx
[2025-10-18T07:20:41.037Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/admin/users/page.tsx
[2025-10-18T07:20:41.037Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/agent-dashboard/page.tsx
[2025-10-18T07:20:41.038Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/analytics/page.tsx
[2025-10-18T07:20:41.039Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/chatbot/analytics/page.tsx
[2025-10-18T07:20:41.040Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/chatbot/flows/[flowId]/page.tsx
[2025-10-18T07:20:41.041Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/chatbot/flows/page.tsx
[2025-10-18T07:20:41.042Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/chatbot/integrations/page.tsx
[2025-10-18T07:20:41.042Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/chatbot/templates/[id]/page.tsx
[2025-10-18T07:20:41.043Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/chatbot/templates/page.tsx
[2025-10-18T07:20:41.044Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/conversations/page.tsx
[2025-10-18T07:20:41.045Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/crm/activities/page.tsx
[2025-10-18T07:20:41.046Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/crm/contacts/[id]/page.tsx
[2025-10-18T07:20:41.046Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/crm/contacts/page.tsx
[2025-10-18T07:20:41.047Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/crm/dashboard/page.tsx
[2025-10-18T07:20:41.048Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/crm/deals/kanban/page.tsx
[2025-10-18T07:20:41.049Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/crm/deals/page.tsx
[2025-10-18T07:20:41.050Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/crm/flows/page.tsx
[2025-10-18T07:20:41.051Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/crm/leads/page.tsx
[2025-10-18T07:20:41.051Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/flow/page.tsx
[2025-10-18T07:20:41.052Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/integrations/page.tsx
[2025-10-18T07:20:41.053Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/messages/page.tsx
[2025-10-18T07:20:41.054Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/notifications/page.tsx
[2025-10-18T07:20:41.055Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/owner/dashboard/page.tsx
[2025-10-18T07:20:41.056Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/performance/page.tsx
[2025-10-18T07:20:41.056Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/profile/page.tsx
[2025-10-18T07:20:41.057Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/review/page.tsx
[2025-10-18T07:20:41.058Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/security/page.tsx
[2025-10-18T07:20:41.059Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/sessions/[id]/notes/page.tsx
[2025-10-18T07:20:41.060Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/settings/api-keys/page.tsx
[2025-10-18T07:20:41.061Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/settings/page.tsx
[2025-10-18T07:20:41.061Z] [SUCCESS]    ✅ Organized imports: src/app/(admin)/supervisor/dashboard/page.tsx
[2025-10-18T07:20:41.062Z] [SUCCESS]    ✅ Organized imports: src/app/(auth)/forgot-password/page.tsx
[2025-10-18T07:20:41.062Z] [SUCCESS]    ✅ Organized imports: src/app/(auth)/layout.tsx
